race_id,timestamp,lap_number,duration_s,avg_speed_px_s
1,1776628973.832,1,1.552,4.628
1,1776628999.766,3,0.824,5.035
1,1776629014.411,1,2.123,4.451
1,1776629016.088,1,1.423,5.435
1,1776629035.009,1,0.837,5.083
1,1776629035.636,2,1.384,4.654
2,1776629098.499,3,0.997,3.77
2,1776629136.253,3,0.976,3.657
2,1776629138.378,3,1.453,5.203
2,1776629143.973,3,0.872,4.829
3,1776629220.125,2,1.611,4.857
3,1776629240.281,3,1.677,5.257
3,1776629240.772,3,1.852,3.978
3,1776629253.369,1,2.024,4.075
3,1776629262.919,3,1.626,4.058
4,1776629364.643,2,1.351,5.065
4,1776629366.13,2,1.08,4.357
4,1776629369.154,3,2.53,5.406
5,1776629450.282,3,1.115,4.792
5,1776629451.373,3,1.789,5.337
5,1776629481.091,2,1.945,4.379
5,1776629486.057,1,2.282,4.903
5,1776629488.682,1,2.385,3.681
5,1776629491.926,2,1.571,4.94
6,1776629536.064,2,2.412,4.84
6,1776629571.629,1,2.003,4.652
6,1776629582.752,1,1.244,6.483
6,1776629601.4,3,1.06,5.133
7,1776629656.027,3,0.733,4.314
7,1776629675.767,3,1.853,5.159
7,1776629678.171,2,0.806,4.283
7,1776629709.998,3,2.46,4.45
7,1776629711.837,1,1.124,4.918
7,1776629716.365,2,1.041,4.408
8,1776629797.153,2,2.124,4.289
8,1776629825.7,2,2.577,4.376
8,1776629827.441,2,0.721,5.282
9,1776629909.09,1,1.714,4.625
9,1776629920.61,1,1.895,3.719
9,1776629921.304,3,2.495,4.283
9,1776629922.241,2,2.234,5.076
9,1776629931.961,1,2.244,4.547
9,1776629937.957,3,1.216,4.568
10,1776629997.324,3,1.206,4.744
10,1776630002.847,1,1.569,3.371
10,1776630069.302,1,0.645,5.206
11,1776630119.67,2,0.607,4.343
11,1776630147.992,3,2.414,4.739
11,1776630166.753,3,1.904,4.367
11,1776630167.901,3,0.844,4.43
11,1776630167.915,3,1.628,4.911
11,1776630186.912,3,1.025,4.167
12,1776630238.207,3,1.413,4.557
12,1776630249.52,3,2.274,4.843
12,1776630253.195,2,1.094,3.916
12,1776630306.78,3,1.491,4.814
13,1776630347.693,1,1.177,4.56
13,1776630358.807,3,0.806,4.544
13,1776630362.186,1,1.58,5.077
13,1776630362.918,1,1.048,4.627
13,1776630383.956,2,1.366,4.285
13,1776630404.047,3,0.949,4.49
14,1776630470.619,2,2.685,5.222
14,1776630487.006,3,1.682,4.16
14,1776630491.265,2,1.262,4.39
14,1776630510.042,2,0.841,4.257
14,1776630512.448,3,1.955,3.94
14,1776630526.744,1,1.69,4.449
14,1776630530.743,3,1.811,5.548
15,1776630615.47,1,2.6,4.12
15,1776630618.677,3,1.739,4.513
15,1776630619.848,1,2.58,4.905
15,1776630632.009,3,2.563,5.431
15,1776630632.211,3,1.666,4.487
15,1776630640.329,3,2.668,4.264
15,1776630649.019,3,0.949,5.281
16,1776630693.856,1,1.808,4.184
16,1776630694.099,3,0.951,4.265
16,1776630728.335,3,0.882,5.184
16,1776630746.772,1,2.307,5.469
16,1776630749.236,1,1.482,4.431
16,1776630758.194,2,1.025,4.718
16,1776630766.878,3,2.144,4.571
17,1776630819.149,2,0.842,5.292
17,1776630836.371,3,1.026,4.238
17,1776630848.665,1,1.883,4.466
17,1776630861.813,3,1.7,4.519
18,1776630938.058,1,1.116,4.271
18,1776630951.696,3,0.857,4.7
18,1776630979.906,2,1.336,5.882
18,1776630992.23,2,1.281,4.607
19,1776631053.02,2,0.756,5.062
19,1776631053.79,1,2.698,3.805
19,1776631077.751,3,1.1,4.654
19,1776631078.016,1,2.163,5.015
19,1776631089.519,3,0.622,4.791
19,1776631110.241,3,1.294,3.943
20,1776631169.745,3,1.225,4.632
20,1776631170.599,2,1.653,4.591
20,1776631187.538,1,2.594,3.914
20,1776631206.706,2,1.266,4.469
20,1776631238.714,3,2.554,4.328
20,1776631243.331,3,1.133,4.765
21,1776631292.124,1,2.63,3.775
