race_id,left_count,right_count
1,523,366
2,636,147
3,518,244
4,555,266
5,538,262
6,593,236
7,511,292
8,660,232
9,559,260
10,542,327
11,567,223
12,490,299
13,511,362
14,562,247
15,620,227
16,497,349
17,522,266
18,562,272
19,571,305
20,609,240
21,562,230
22,548,192
23,697,139
24,508,304
25,612,233
26,542,274
27,500,312
28,519,290
29,600,181
30,529,258
31,601,279
32,580,239
33,494,314
34,609,235
35,572,277
36,1857,1362
37,1823,1274
38,1666,1118
39,1623,1058
40,1830,1269
41,1858,1270
42,2114,1482
43,1793,1267
44,1834,1229
45,1844,1288
46,1765,1150
47,1910,1332
48,1839,1302
49,1988,1426
50,1923,1372
51,1813,1278
52,1803,1193
53,1732,1184
